1,101,103,1,1,2,200,200,1
1,101,103,1,1,3,100,105,1
1,101,103,1,1,4,100,50,1
1,101,103,1,1,5,100,500,1
1,101,103,1,1,6,300,400,1
1,102,103,1,1,2,200,200,1
1,102,103,1,1,3,100,105,1
1,102,103,1,1,4,100,50,1
1,102,103,1,1,5,100,500,1
1,102,103,1,1,6,300,400,1
1,103,103,1,1,2,200,200,1
1,103,103,1,1,3,100,105,1
1,103,103,1,1,4,100,50,1
1,103,103,1,1,5,100,500,1
1,103,103,1,1,6,300,400,1
1,101,103,1,1,2,200,200,2
1,101,103,1,1,3,100,105,2
1,101,103,1,1,4,100,50,2
1,101,103,1,1,5,100,500,2
1,101,103,1,1,6,300,400,2
1,102,103,1,1,2,200,200,2
1,102,103,1,1,3,100,105,2
1,102,103,1,1,4,100,50,2
1,102,103,1,1,5,100,500,2
1,102,103,1,1,6,300,400,2
1,103,103,1,1,2,200,200,2
1,103,103,1,1,3,100,105,2
1,103,103,1,1,4,100,50,2
1,103,103,1,1,5,100,500,2
1,103,103,1,1,6,300,400,2
1,101,103,1,1,2,200,200,3
1,101,103,1,1,3,100,105,3
1,101,103,1,1,4,100,50,3
1,101,103,1,1,5,100,500,3
1,101,103,1,1,6,300,400,3
1,102,103,1,1,2,200,200,3
1,102,103,1,1,3,100,105,3
1,102,103,1,1,4,100,50,3
1,102,103,1,1,5,100,500,3
1,102,103,1,1,6,300,400,3
1,103,103,1,1,2,200,200,3
1,103,103,1,1,3,100,105,3
1,103,103,1,1,4,100,50,3
1,103,103,1,1,5,100,500,3
1,103,103,1,1,6,300,400,3
1,101,103,1,1,2,200,200,4
1,101,103,1,1,3,100,105,4
1,101,103,1,1,4,100,50,4
1,101,103,1,1,5,100,500,4
1,101,103,1,1,6,300,400,4
1,102,103,1,1,2,200,200,4
1,102,103,1,1,3,100,105,4
1,102,103,1,1,4,100,50,4
1,102,103,1,1,5,100,500,4
1,102,103,1,1,6,300,400,4
1,103,103,1,1,2,200,200,4
1,103,103,1,1,3,100,105,4
1,103,103,1,1,4,100,50,4
1,103,103,1,1,5,100,500,4
1,103,103,1,1,6,300,400,4
1,101,103,1,1,2,200,200,5
1,101,103,1,1,3,100,105,5
1,101,103,1,1,4,100,50,5
1,101,103,1,1,5,100,500,5
1,101,103,1,1,6,300,400,5
1,102,103,1,1,2,200,200,5
1,102,103,1,1,3,100,105,5
1,102,103,1,1,4,100,50,5
1,102,103,1,1,5,100,500,5
1,102,103,1,1,6,300,400,5
1,103,103,1,1,2,200,200,5
1,103,103,1,1,3,100,105,5
1,103,103,1,1,4,100,50,5
1,103,103,1,1,5,100,500,5
1,103,103,1,1,6,300,400,5
1,101,103,1,1,2,200,200,6
1,101,103,1,1,3,100,105,6
1,101,103,1,1,4,100,50,6
1,101,103,1,1,5,100,500,6
1,101,103,1,1,6,300,400,6
1,102,103,1,1,2,200,200,6
1,102,103,1,1,3,100,105,6
1,102,103,1,1,4,100,50,6
1,102,103,1,1,5,100,500,6
1,102,103,1,1,6,300,400,6
1,103,103,1,1,2,200,200,6
1,103,103,1,1,3,100,105,6
1,103,103,1,1,4,100,50,6
1,103,103,1,1,5,100,500,6
1,103,103,1,1,6,300,400,6
2,101,104,104,2,1,200,50,1
2,101,104,104,2,2,200,200,1
2,101,104,104,2,3,100,105,1
2,101,104,104,2,4,100,50,1
2,101,104,104,2,5,100,500,1
2,101,104,104,2,6,300,400,1
2,101,104,104,2,1,200,50,2
2,101,104,104,2,2,200,200,2
2,101,104,104,2,3,100,105,2
2,101,104,104,2,4,100,50,2
2,101,104,104,2,5,100,500,2
2,101,104,104,2,6,300,400,2
2,101,104,104,2,1,200,50,3
2,101,104,104,2,2,200,200,3
2,101,104,104,2,3,100,105,3
2,101,104,104,2,4,100,50,3
2,101,104,104,2,5,100,500,3
2,101,104,104,2,6,300,400,3
2,101,104,104,2,1,200,50,4
2,101,104,104,2,2,200,200,4
2,101,104,104,2,3,100,105,4
2,101,104,104,2,4,100,50,4
2,101,104,104,2,5,100,500,4
2,101,104,104,2,6,300,400,4
2,101,104,104,2,1,200,50,5
2,101,104,104,2,2,200,200,5
2,101,104,104,2,3,100,105,5
2,101,104,104,2,4,100,50,5
2,101,104,104,2,5,100,500,5
2,101,104,104,2,6,300,400,5
2,101,104,104,2,1,200,50,6
2,101,104,104,2,2,200,200,6
2,101,104,104,2,3,100,105,6
2,101,104,104,2,4,100,50,6
2,101,104,104,2,5,100,500,6
2,101,104,104,2,6,300,400,6
3,102,101,2,3,1,200,50,1
3,102,101,2,3,3,100,105,1
3,102,101,2,3,4,100,50,1
3,102,101,2,3,5,100,500,1
3,102,101,2,3,6,300,400,1
3,102,101,2,3,1,200,50,2
3,102,101,2,3,3,100,105,2
3,102,101,2,3,4,100,50,2
3,102,101,2,3,5,100,500,2
3,102,101,2,3,6,300,400,2
3,102,101,2,3,1,200,50,3
3,102,101,2,3,3,100,105,3
3,102,101,2,3,4,100,50,3
3,102,101,2,3,5,100,500,3
3,102,101,2,3,6,300,400,3
3,102,101,2,3,1,200,50,4
3,102,101,2,3,3,100,105,4
3,102,101,2,3,4,100,50,4
3,102,101,2,3,5,100,500,4
3,102,101,2,3,6,300,400,4
3,102,101,2,3,1,200,50,5
3,102,101,2,3,3,100,105,5
3,102,101,2,3,4,100,50,5
3,102,101,2,3,5,100,500,5
3,102,101,2,3,6,300,400,5
3,102,101,2,3,1,200,50,6
3,102,101,2,3,3,100,105,6
3,102,101,2,3,4,100,50,6
3,102,101,2,3,5,100,500,6
3,102,101,2,3,6,300,400,6
4,104,102,3,4,1,200,50,1
4,104,102,3,4,2,200,200,1
4,104,102,3,4,4,100,50,1
4,104,102,3,4,5,100,500,1
4,104,102,3,4,6,300,400,1
4,104,102,3,4,1,200,50,2
4,104,102,3,4,2,200,200,2
4,104,102,3,4,4,100,50,2
4,104,102,3,4,5,100,500,2
4,104,102,3,4,6,300,400,2
4,104,102,3,4,1,200,50,3
4,104,102,3,4,2,200,200,3
4,104,102,3,4,4,100,50,3
4,104,102,3,4,5,100,500,3
4,104,102,3,4,6,300,400,3
4,104,102,3,4,1,200,50,4
4,104,102,3,4,2,200,200,4
4,104,102,3,4,4,100,50,4
4,104,102,3,4,5,100,500,4
4,104,102,3,4,6,300,400,4
4,104,102,3,4,1,200,50,5
4,104,102,3,4,2,200,200,5
4,104,102,3,4,4,100,50,5
4,104,102,3,4,5,100,500,5
4,104,102,3,4,6,300,400,5
4,104,102,3,4,1,200,50,6
4,104,102,3,4,2,200,200,6
4,104,102,3,4,4,100,50,6
4,104,102,3,4,5,100,500,6
4,104,102,3,4,6,300,400,6
